Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",775.822,796.944,847.934,930.155,929.006,931.814,"1,055.17","1,047.36","1,154.69"
Netherlands,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,16.901,16.979,17.082,17.181,17.282,17.408,17.475,17.591,17.811
Portugal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",199.414,206.369,221.28,242.423,240.013,228.849,255.705,255.398,287.187
Portugal,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,10.358,10.325,10.3,10.284,10.286,10.297,10.295,10.299,10.318
Slovak Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",88.91,89.928,95.616,106.186,105.723,106.652,118.642,115.676,132.832
Slovak Republic,Population,Persons,Millions,Source: National Statistics Office. Haver Analytics Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,5.421,5.426,5.435,5.443,5.45,5.458,5.46,5.435,5.429
Slovenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.714,44.279,48.136,53.713,53.916,53.342,61.57,59.975,69.168
Slovenia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 10/2024,2.063,2.064,2.066,2.067,2.081,2.096,2.109,2.107,2.117
Spain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,206.29","1,242.67","1,321.29","1,432.29","1,403.65","1,288.75","1,462.22","1,447.64","1,620.56"
Spain,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 10/2024,46.41,46.45,46.533,46.729,47.105,47.356,47.331,47.615,47.81
,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2024",,,,,,,,,,,,,
