Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,2023
Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27.266,28.076,30.473,34.445,34.229,34.363,39.469,40.454,43.64
Latvia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,1.986,1.969,1.95,1.934,1.92,1.908,1.893,1.876,1.883
Lithuania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",41.431,43.058,47.706,53.777,54.831,56.873,66.865,71.134,77.844
Lithuania,Population,Persons,Millions,Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,2.905,2.868,2.828,2.802,2.794,2.795,2.801,2.824,2.883
Luxembourg,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.078,62.2,65.689,71.033,69.898,73.64,85.641,81.706,85.78
Luxembourg,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,0.563,0.576,0.591,0.602,0.614,0.626,0.635,0.645,0.661
Malta,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.342,12.022,14.156,16.161,16.34,16.373,19.732,19.225,22.335
Malta,Population,Persons,Millions,Source: Eurostat Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,0.44,0.45,0.46,0.476,0.494,0.515,0.516,0.521,0.542
Netherlands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",775.822,796.944,847.934,930.155,929.006,931.814,1055.17,1047.36,1154.69
Netherlands,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,16.901,16.979,17.082,17.181,17.282,17.408,17.475,17.591,17.811
Poland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",480.05,473.26,528.36,594.62,602.68,605.91,689.17,695.61,809.2
Poland,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Notes: Annual data prior to 1994 are end of year. Starting 1995 annual data are as of January 1 of each year. Primary ,37.986,37.97,37.975,37.975,37.965,37.899,36.982,36.821,36.687
Portugal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",199.414,206.369,221.28,242.423,240.013,228.849,255.705,255.398,287.187
Portugal,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,10.358,10.325,10.3,10.284,10.286,10.297,10.295,10.299,10.318
Romania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",177.89,185.29,210.15,243.47,251.68,252.03,286.58,296.35,350.78
Romania,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,19.816,19.702,19.589,19.474,19.372,19.265,19.122,19.049,19.059
Slovakia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",88.91,89.928,95.616,106.186,105.723,106.652,118.642,115.676,132.832
Slovakia,Population,Persons,Millions,Source: National Statistics Office. Haver Analytics Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,5.421,5.426,5.435,5.443,5.45,5.458,5.46,5.435,5.429
Slovenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.714,44.279,48.136,53.713,53.916,53.342,61.57,59.975,69.168
Slovenia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 10/2024,2.063,2.064,2.066,2.067,2.081,2.096,2.109,2.107,2.117
Spain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1206.29,1242.67,1321.29,1432.29,1403.65,1288.75,1462.22,1447.64,1620.56
Spain,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 10/2024,46.41,46.45,46.533,46.729,47.105,47.356,47.331,47.615,47.81
Sweden,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",501.7,514.22,536.08,551.31,532.17,545.15,637.19,579.9,584.96
Sweden,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Notes: Annual data prior to 1994 are end of year. Starting 1995 annual data are as of January 1 of each year. Primary ,9.799,9.923,10.058,10.175,10.279,10.353,10.416,10.487,10.537
,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2024",,,,,,,,,,,,,
